ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,GIS_ID,OBJECTID,SHAPE,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPELEN
11000302,254.5,420.7,2023/08/17 04:00:00+00,2023/08/17 04:00:00+00,{CFC8F58C-250F-460E-AB95-81ED30355BF0},17923,2023,,377677,,{48EC6145-4A6C-493D-A09C-1E53EC7042D2},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,254.5,420.7,2023/08/17 04:00:00+00,2023/08/30 04:00:00+00,{CFC8F58C-250F-460E-AB95-81ED30355BF0},17923,2023,,377678,,{3CE556F6-4CEE-48FC-B263-7E57C9715892},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,254.5,420.7,2023/08/30 04:00:00+00,,{CFC8F58C-250F-460E-AB95-81ED30355BF0},17923,2023,,377679,,{CE72AAEF-E790-40D5-B4F0-46A56EE7DBA0},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,420.7,555.2,2023/01/01 05:00:00+00,2023/07/12 04:00:00+00,{C434499E-FAE8-451F-AAE0-0208D3FA8808},17923,2023,,377680,,{97BEBA23-2BCB-49C7-BC73-6A9DD0B8F7A9},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,420.7,555.2,2023/07/12 04:00:00+00,2023/08/17 04:00:00+00,{C434499E-FAE8-451F-AAE0-0208D3FA8808},17923,2023,,377681,,{6944245D-EC21-4514-941F-8ABCE8AB5F6E},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,420.7,555.2,2023/08/17 04:00:00+00,2023/08/17 04:00:00+00,{C434499E-FAE8-451F-AAE0-0208D3FA8808},17923,2023,,377682,,{0E5BD56C-479A-4645-ADFC-6B3745B3591B},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,420.7,555.2,2023/08/17 04:00:00+00,2023/08/30 04:00:00+00,{C434499E-FAE8-451F-AAE0-0208D3FA8808},17923,2023,,377683,,{A6EF709C-31F7-4335-9BDB-D1E08EAE452D},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,420.7,555.2,2023/08/30 04:00:00+00,,{C434499E-FAE8-451F-AAE0-0208D3FA8808},17923,2023,,377684,,{E9EC78C7-C82A-454A-9B1A-182D52E2D2C9},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,555.2,703.3,2023/01/01 05:00:00+00,2023/07/12 04:00:00+00,{707820BF-DBFF-4FDC-B560-3C31A0E9036B},17923,2023,,377685,,{9E761DFB-091D-4B0D-BCFB-8A5FDFAB042A},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
11000302,555.2,703.3,2023/07/12 04:00:00+00,2023/08/17 04:00:00+00,{707820BF-DBFF-4FDC-B560-3C31A0E9036B},17923,2023,,377686,,{4286B5CF-2C50-4B81-B9A4-44B93F63D660},JLAY,2024/10/26 07:36:20+00,JLAY,2024/10/26 07:36:20+00,0
